 PDBe Fold v2.55. 26 Mar 2013 result file.

                   RESULT SUMMARY

   ##      Q-score      P-score     Z-score   RMSD    Nalgn Nsse Ngaps Seq-%     Nmd Nres-Q Nsse-Q Nres-T Nsse-T Query Target
    1           1         169        39.3     0.000   538   40    0           1    0    538     40    538     40    PDB 1ctn:A  PDB 1ctn:A
    2      0.9839       108.6       31.46     0.360   538   40    0      0.9926    0    538     40    539     41    PDB 1ctn:A  PDB 2wly:A
    3      0.9834       106.5       31.15     0.390   538   40    0      0.9926    0    538     40    538     41    PDB 1ctn:A  PDB 1k9t:A
    4      0.9818       107.8       31.34     0.365   538   40    0      0.9926    0    538     40    540     41    PDB 1ctn:A  PDB 1ffr:A
    5      0.9813       107.8       31.34     0.371   538   40    0      0.9926    0    538     40    540     41    PDB 1ctn:A  PDB 1eib:A
    6      0.9794       105.9       31.06     0.394   538   40    0      0.9926    0    538     40    540     41    PDB 1ctn:A  PDB 1ehn:A
    7      0.9789       106.5       31.15     0.399   538   40    0      0.9944    0    538     40    540     41    PDB 1ctn:A  PDB 1edq:A
    8      0.9737       103.4        30.7     0.476   538   40    0      0.9926    0    538     40    539     41    PDB 1ctn:A  PDB 2wk2:A
    9      0.9734       98.71       29.98     0.460   538   40    0      0.9944    0    538     40    540     41    PDB 1ctn:A  PDB 1ffq:A
   10      0.9695         101       30.32     0.532   538   40    0      0.9926    0    538     40    538     41    PDB 1ctn:A  PDB 2wlz:A
   11       0.967       100.2       30.21     0.554   538   40    0      0.9926    0    538     40    538     41    PDB 1ctn:A  PDB 2wm0:A
   12      0.9667       94.86       29.43     0.541   538   40    0      0.9888    0    538     40    539     42    PDB 1ctn:A  PDB 1x6l:A
   13       0.966       103.9       30.76     0.532   538   40    0      0.9907    0    538     40    540     41    PDB 1ctn:A  PDB 1nh6:A
   14       0.965        99.9       30.21     0.556   538   40    0      0.9888    0    538     40    539     42    PDB 1ctn:A  PDB 1x6n:A
   15      0.9554       98.05       29.92     0.621   538   40    0      0.9888    0    538     40    540     42    PDB 1ctn:A  PDB 1rd6:A
   16      0.7585       76.59       26.37     1.280   523   40   16      0.5488    0    538     40    567     45    PDB 1ctn:A  PDB 3b8s:A
   17      0.7339       71.34        25.5     1.337   518   40   15      0.5483    0    538     40    567     46    PDB 1ctn:A  PDB 3b9d:A
   18      0.7319       70.04       25.27     1.393   521   40   14      0.5451    0    538     40    567     46    PDB 1ctn:A  PDB 3b9a:A
   19      0.7041       67.72       24.85     1.419   519   40   16      0.5376    0    538     40    581     46    PDB 1ctn:A  PDB 3b9e:A
   20      0.6975        69.6       25.19     1.481   518   40   17      0.5386    0    538     40    575     46    PDB 1ctn:A  PDB 3arq:A
   21      0.6969       67.33       24.77     1.449   512   40   18      0.5371    0    538     40    567     46    PDB 1ctn:A  PDB 3arr:A
   22      0.6962       67.93       24.89     1.473   517   40   17      0.5397    0    538     40    575     46    PDB 1ctn:A  PDB 3ary:A
   23      0.6954       68.76       25.04     1.457   512   40   18      0.5371    0    538     40    567     46    PDB 1ctn:A  PDB 3arz:A
   24      0.6954       69.81       25.23     1.448   515   40   17      0.5417    0    538     40    575     46    PDB 1ctn:A  PDB 3arv:A
   25      0.6939       71.34        25.5     1.492   517   40   17      0.5397    0    538     40    574     46    PDB 1ctn:A  PDB 3arp:A
   26      0.6934       69.29       25.08     1.459   515   40   17      0.5417    0    538     40    575     45    PDB 1ctn:A  PDB 3arx:A
   27      0.6919       69.92       25.19     1.497   517   40   17      0.5397    0    538     40    575     44    PDB 1ctn:A  PDB 3arw:A
   28      0.6851       72.31       25.62     1.468   513   40   18        0.54    0    538     40    576     44    PDB 1ctn:A  PDB 3aro:A
   29      0.6488       60.32       23.46     1.494   497   39   17      0.5372    0    538     40    567     45    PDB 1ctn:A  PDB 3as3:A
   30      0.6474       60.99       23.68     1.452   495   39   16      0.5394    0    538     40    570     46    PDB 1ctn:A  PDB 3as1:A
   31      0.6444       60.52       23.43     1.443   492   40   15      0.5407    0    538     40    567     45    PDB 1ctn:A  PDB 3b8s:B
   32      0.6403       57.81       23.07     1.483   493   39   16      0.5416    0    538     40    567     46    PDB 1ctn:A  PDB 3ars:A
   33      0.6382        59.2       23.25     1.580   500   39   16       0.536    0    538     40    570     45    PDB 1ctn:A  PDB 3as0:A
   34      0.6345       58.96       23.28     1.543   496   39   16      0.5403    0    538     40    570     46    PDB 1ctn:A  PDB 3aru:A
   35      0.6332       56.43       22.71     1.520   494   39   16      0.5405    0    538     40    570     45    PDB 1ctn:A  PDB 3art:A
   36      0.6275       56.54       22.81     1.447   487   39   16      0.5441    0    538     40    570     46    PDB 1ctn:A  PDB 3as2:A
